Function,Start
main,2025-10-16 14:21:04
get_driver,2025-10-16 14:21:04
get_all_links_on_page,2025-10-16 14:22:17
get_all_links_on_page,2025-10-16 14:22:22
get_all_links_on_page,2025-10-16 14:22:27
get_all_links_on_page,2025-10-16 14:22:31
get_all_links_on_page,2025-10-16 14:22:34
get_all_links_on_page,2025-10-16 14:22:37
get_all_links_on_page,2025-10-16 14:22:43
get_all_links_on_page,2025-10-16 14:22:45
get_all_links_on_page,2025-10-16 14:22:50
get_all_links_on_page,2025-10-16 14:22:55
get_all_links_on_page,2025-10-16 14:22:59
get_all_links_on_page,2025-10-16 14:23:05
get_all_links_on_page,2025-10-16 14:23:07
get_all_links_on_page,2025-10-16 14:23:10
get_all_links_on_page,2025-10-16 14:23:12
get_all_links_on_page,2025-10-16 14:23:16
get_all_links_on_page,2025-10-16 14:23:21
get_all_links_on_page,2025-10-16 14:23:25
get_all_links_on_page,2025-10-16 14:23:31
get_all_links_on_page,2025-10-16 14:23:35
clean_links,2025-10-16 14:23:37
